date,contract_preamble,expiry_date,daily_volume,mean,median,mode,skewness,kurtosis,variance
2024-08-07,U3-24AUG,2024-09-06,148,4.372448979591837,4.3999999999999995,4.3,-0.3176470588235267,0.020090831272146392,0.011996043315285317
2024-08-08,U3-24AUG,2024-09-06,235,4.372448979591837,4.3999999999999995,4.3,-0.3103448275861943,-0.016574377882290214,0.012404206580591437
2024-08-09,U3-24AUG,2024-09-06,3,4.373469387755102,4.3999999999999995,4.3,-0.3023255813953447,0.024623598000658387,0.012357351103706806
2024-08-10,U3-24AUG,2024-09-06,0,4.373469387755102,4.3999999999999995,4.3,-0.3023255813953447,0.024623598000658387,0.012357351103706806
2024-08-11,U3-24AUG,2024-09-06,100,4.371428571428571,4.3999999999999995,4.3,-0.318181818181817,-0.055485649019084704,0.01244897959183675
2024-08-12,U3-24AUG,2024-09-06,0,4.371428571428571,4.3999999999999995,4.3,-0.318181818181817,-0.055485649019084704,0.01244897959183675
2024-08-13,U3-24AUG,2024-09-06,0,4.371428571428571,4.3999999999999995,4.3,-0.318181818181817,-0.055485649019084704,0.01244897959183675
2024-08-14,U3-24AUG,2024-09-06,95,4.373469387755102,4.3999999999999995,4.3,-0.3023255813953447,0.024623598000658387,0.012357351103706806
2024-08-15,U3-24AUG,2024-09-06,310,4.360204081632653,4.3999999999999995,4.5,-0.39393939393938837,-0.8346627414655599,0.015457101207830108
2024-08-16,U3-24AUG,2024-09-06,36,4.371428571428571,4.3999999999999995,4.3999999999999995,-0.25454545454545346,-0.8247650390625023,0.019591836734693904
2024-08-17,U3-24AUG,2024-09-06,47,4.2142857142857135,4.199999999999999,4.199999999999999,0.20588235294117563,-0.19309307958477895,0.010408163265306128
2024-08-18,U3-24AUG,2024-09-06,0,4.2142857142857135,4.199999999999999,4.199999999999999,0.20588235294117563,-0.19309307958477895,0.010408163265306128
2024-08-19,U3-24AUG,2024-09-06,414,4.33469387755102,4.3999999999999995,4.199999999999999,-0.5079365079365064,-0.8614350529408958,0.023898375676801392
2024-08-20,U3-24AUG,2024-09-06,1,4.277551020408163,4.3,4.199999999999999,-0.2619047619047726,0.151515702383604,0.012557267805081231
2024-08-21,U3-24AUG,2024-09-06,16,4.277551020408163,4.3,4.199999999999999,-0.2619047619047726,0.151515702383604,0.012557267805081231
2024-08-22,U3-24AUG,2024-09-06,281,4.332653061224489,4.3999999999999995,4.199999999999999,-0.5156250000000003,-0.8720910509679536,0.02383173677634325
2024-08-23,U3-24AUG,2024-09-06,349,4.308163265306122,4.3999999999999995,4.3999999999999995,-0.8490566037735886,-0.27102156113022735,0.017688463140358202
2024-08-24,U3-24AUG,2024-09-06,0,4.308163265306122,4.3999999999999995,4.3999999999999995,-0.8490566037735886,-0.27102156113022735,0.017688463140358202
2024-08-25,U3-24AUG,2024-09-06,0,4.308163265306122,4.3999999999999995,4.3999999999999995,-0.8490566037735886,-0.27102156113022735,0.017688463140358202
2024-08-26,U3-24AUG,2024-09-06,250,4.321428571428571,4.3999999999999995,4.3999999999999995,-0.827956989247309,0.47647826229736845,0.016173469387755116
2024-08-27,U3-24AUG,2024-09-06,2156,4.293877551020407,4.3,4.3999999999999995,-0.05172413793103324,-0.8767286673760797,0.020166597251145363
2024-08-28,U3-24AUG,2024-09-06,35,4.290816326530612,4.3,4.3999999999999995,-0.07964601769911697,-0.8569945383353117,0.019813619325281143
2024-08-29,U3-24AUG,2024-09-06,8431,4.201020408163265,4.199999999999999,4.199999999999999,0.013333333333334937,1.0784156033671408,0.015407122032486483
2024-08-30,U3-24AUG,2024-09-06,5561,4.274489795918367,4.25,4.199999999999999,0.4965986394557825,-0.7015189139505451,0.03251249479383596
2024-08-31,U3-24AUG,2024-09-06,76,4.237755102040816,4.25,4.3,0.3663366336633756,-0.6403951744154015,0.014799042065805932
2024-09-01,U3-24AUG,2024-09-06,598,4.222448979591836,4.199999999999999,4.199999999999999,0.28205128205128244,-0.06599171491915312,0.013373594335693476
2024-09-02,U3-24AUG,2024-09-06,3168,4.302040816326531,4.3,4.3,0.01785714285713723,-0.6297831250574446,0.021424406497292825
2024-09-03,U3-24AUG,2024-09-06,2437,4.291836734693876,4.3,4.3999999999999995,-0.07843137254902051,-0.2673866770158133,0.01830070803831738
2024-09-04,U3-24AUG,2024-09-06,10333,4.245918367346938,4.3,4.3,-0.4529914529914551,0.030763392037179038,0.024932319866722227
2024-09-05,U3-24AUG,2024-09-06,7022,4.274489795918367,4.3,4.199999999999999,-0.2525252525252563,-0.045000589699193405,0.016594127446897148
2024-09-06,U3-24AUG,2024-09-06,1757,4.26734693877551,4.3,4.199999999999999,-0.3636363636363674,0.4274272726168813,0.013627655143690149
2024-09-06,U3-24SEP,2024-10-04,10,4.247959183673469,4.2,4.2,0.9999999999999947,-2.013357822277846,0.002495835068721348
2024-09-07,U3-24SEP,2024-10-04,108,4.247959183673469,4.2,4.2,0.9999999999999947,-2.013357822277846,0.002495835068721348
2024-09-08,U3-24SEP,2024-10-04,120,4.251020408163265,4.2,4.2,1.0000000000000022,-1.1199092400719026,0.0029071220324864487
2024-09-09,U3-24SEP,2024-10-04,119,4.223469387755101,4.199999999999999,4.299999999999999,0.2987012987012901,-1.352802500238601,0.0077144939608496275
2024-09-10,U3-24SEP,2024-10-04,58,4.223469387755101,4.199999999999999,4.299999999999999,0.2987012987012901,-1.352802500238601,0.0077144939608496275
2024-09-11,U3-24SEP,2024-10-04,296,4.223469387755101,4.199999999999999,4.299999999999999,0.2987012987012901,-1.352802500238601,0.0077144939608496275
2024-09-12,U3-24SEP,2024-10-04,38,4.223469387755101,4.199999999999999,4.299999999999999,0.2987012987012901,-1.352802500238601,0.0077144939608496275
2024-09-13,U3-24SEP,2024-10-04,39,4.223469387755101,4.199999999999999,4.299999999999999,0.2987012987012901,-1.352802500238601,0.0077144939608496275
2024-09-14,U3-24SEP,2024-10-04,3,4.215306122448979,4.199999999999999,4.299999999999999,0.21739130434781484,-1.2598413157319306,0.007214702207413561
2024-09-15,U3-24SEP,2024-10-04,0,4.215306122448979,4.199999999999999,4.299999999999999,0.21739130434781484,-1.2598413157319306,0.007214702207413561
2024-09-16,U3-24SEP,2024-10-04,97,4.224489795918367,4.249999999999998,4.299999999999999,0.30769230769231193,-1.3559446470254104,0.007767596834652209
2024-09-17,U3-24SEP,2024-10-04,19,4.224489795918367,4.249999999999998,4.299999999999999,0.30769230769231193,-1.3559446470254104,0.007767596834652209
2024-09-18,U3-24SEP,2024-10-04,646,4.226530612244897,4.299999999999999,4.299999999999999,-0.9473684210526332,-1.3167118309309997,0.007663473552686362
2024-09-19,U3-24SEP,2024-10-04,656,4.2326530612244895,4.3,4.3,-0.6470588235294125,-0.8828006281572298,0.015056226572261567
2024-09-20,U3-24SEP,2024-10-04,30,4.242857142857142,4.3,4.3,-0.6086956521739199,-0.90331474480152,0.014081632653061232
2024-09-21,U3-24SEP,2024-10-04,180,4.241836734693877,4.3,4.3,-0.6129032258064596,-0.9096081018605928,0.014066014160766353
2024-09-22,U3-24SEP,2024-10-04,100,4.241836734693877,4.3,4.3,-0.6129032258064596,-0.9096081018605928,0.014066014160766353
2024-09-23,U3-24SEP,2024-10-04,0,4.241836734693877,4.3,4.3,-0.6129032258064596,-0.9096081018605928,0.014066014160766353
2024-09-24,U3-24SEP,2024-10-04,28,4.2510204081632645,4.3,4.3,-0.46153846153846684,-1.1018166906786189,0.01658059142024157
2024-09-25,U3-24SEP,2024-10-04,122,4.244897959183673,4.3,4.3999999999999995,-0.4909090909090946,-1.144388847105737,0.016555601832569752
2024-09-26,U3-24SEP,2024-10-04,308,4.254081632653061,4.3,4.3,-0.43689320388349717,-1.0456996964706844,0.0169731361932528
2024-09-27,U3-24SEP,2024-10-04,220,4.258163265306122,4.3,4.3,-0.3831775700934553,-0.9762709111527959,0.018555810079133695
2024-09-28,U3-24SEP,2024-10-04,1956,4.262244897959183,4.3,4.3,-0.40659340659340765,-0.49415908733952607,0.016023531861724286
2024-09-29,U3-24SEP,2024-10-04,377,4.265306122448979,4.3,4.3,-0.3695652173913015,-0.32992043451496755,0.01675551853394419
2024-09-30,U3-24SEP,2024-10-04,358,4.275510204081632,4.3,4.3,-0.27272727272727587,-0.47738971761907134,0.0153186172428155
2024-10-01,U3-24SEP,2024-10-04,1845,4.271428571428571,4.3,4.3,-0.30434782608695526,-0.09409970255800282,0.01673469387755102
2024-10-02,U3-24SEP,2024-10-04,3156,4.263265306122449,4.3,4.3,-0.3829787234042552,-0.6264226861910243,0.017834235735110365
2024-10-03,U3-24SEP,2024-10-04,2065,4.2693877551020405,4.3,4.3,-0.2777777777777791,-0.7021811124001935,0.02028738025822573
2024-10-04,U3-24OCT,2024-11-01,391,4.13265306122449,4.1,4.3,0.27586206896552046,-1.2506790634017024,0.01852561432736362
2024-10-04,U3-24SEP,2024-10-04,458,4.262244897959183,4.3,4.3999999999999995,-0.3217391304347834,-0.9136964160095404,0.01847251145356102
2024-10-05,U3-24OCT,2024-11-01,0,4.13265306122449,4.1,4.3,0.27586206896552046,-1.2506790634017024,0.01852561432736362
2024-10-06,U3-24OCT,2024-11-01,34,4.121428571428571,4.1,4.3,0.1653543307086608,-1.3590313619325278,0.02250000000000003
